Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Employee_ID,Promotion_Gap_Ratio,Role_Stagnation_Index,Training_Intensity_Score,Manager_Stability_Indicator,Promotion_Gap_Score,Training_Need_Indicator,Career_Stagnation_Flag,Retention_Opportunity_Index,Retention_Opportunity_Level,Career_Cluster,Career_Cluster_Label
35,0,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,EMP0069,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,Low,Medium,0,68.33333333333333,High,1,Developing Professional
31,0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,EMP0073,1.0,1.0,4.0,0.0,Low,Low,0,80.0,High,0,Early-Career Explorer
35,0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,EMP0077,0.1333333333333333,0.8666666666666667,0.1333333333333333,0.5333333333333333,High,Medium,0,64.33333333333333,High,2,Experienced Professional
30,0,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,EMP0089,0.9090909090909092,0.9090909090909092,0.2727272727272727,0.7272727272727273,High,Low,1,74.54545454545455,High,2,Experienced Professional
46,0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673,3142,2,Yes,13,3,3,1,21,5,2,10,9,9,5,EMP0094,0.9,0.9,0.5,0.5,High,Low,1,85.5,High,2,Experienced Professional
32,0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010,24301,1,No,16,3,1,0,12,0,3,11,8,5,7,EMP0095,0.4545454545454545,0.7272727272727273,0.0,0.6363636363636364,High,High,1,84.54545454545455,High,2,Experienced Professional
25,0,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889,26897,1,No,11,3,3,2,2,2,3,2,2,2,1,EMP0109,1.0,1.0,1.0,0.5,Low,Medium,0,87.5,High,1,Developing Professional
51,0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484,25796,3,No,20,4,3,0,23,1,2,13,12,12,8,EMP0111,0.9230769230769232,0.9230769230769232,0.0769230769230769,0.6153846153846154,High,High,1,100.0,High,2,Experienced Professional
54,0,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328,13871,2,Yes,12,3,3,0,23,3,3,5,3,4,4,EMP0113,0.8,0.6,0.6,0.8,Medium,Low,1,62.0,High,2,Experienced Professional
34,0,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631,5615,2,No,12,3,4,0,14,6,3,11,10,5,8,EMP0117,0.4545454545454545,0.9090909090909092,0.5454545454545454,0.7272727272727273,High,Low,1,71.36363636363636,High,2,Experienced Professional
33,0,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146,15480,0,No,13,3,1,1,8,2,4,7,7,0,7,EMP0122,0.0,1.0,0.2857142857142857,1.0,High,Medium,0,65.0,High,1,Developing Professional
51,0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537,6462,7,No,13,3,3,0,23,5,3,20,18,15,15,EMP0124,0.75,0.9,0.25,0.75,High,Low,1,73.25,High,2,Experienced Professional
26,0,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,Research Scientist,2,Married,2368,23300,1,No,19,3,3,0,5,3,2,5,4,4,3,EMP0126,0.8,0.8,0.6,0.6,Medium,Low,1,75.0,High,1,Developing Professional
22,0,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523,19299,0,No,14,3,3,1,3,2,3,2,1,2,1,EMP0129,1.0,0.5,1.0,0.5,Low,Medium,0,72.5,High,1,Developing Professional
49,0,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,6567,5549,1,No,14,3,3,0,16,2,2,15,11,5,11,EMP0130,0.3333333333333333,0.7333333333333333,0.1333333333333333,0.7333333333333333,High,Medium,1,71.33333333333333,High,2,Experienced Professional
50,0,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208,6645,4,No,11,3,4,0,16,3,3,2,2,2,1,EMP0132,1.0,1.0,1.5,0.5,Low,Low,0,77.5,High,1,Developing Professional
26,0,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942,8916,1,No,23,4,4,1,8,3,3,8,7,5,7,EMP0135,0.625,0.875,0.375,0.875,High,Low,1,69.375,High,1,Developing Professional
36,0,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941,2819,6,No,20,4,4,2,7,0,3,3,2,0,1,EMP0136,0.0,0.6666666666666666,0.0,0.3333333333333333,Low,Medium,0,65.0,High,1,Developing Professional
39,0,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,5902,14590,4,No,14,3,3,1,17,1,4,15,11,5,9,EMP0138,0.3333333333333333,0.7333333333333333,0.0666666666666666,0.6,High,High,1,69.33333333333333,High,2,Experienced Professional
25,0,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,41,2,2,Sales Executive,3,Married,8639,24835,2,No,18,3,4,0,6,3,3,2,2,2,2,EMP0139,1.0,1.0,1.5,1.0,Low,Low,0,90.0,High,1,Developing Professional
38,0,Travel_Rarely,364,Research & Development,3,5,Technical Degree,4,Female,32,3,2,Research Scientist,3,Single,4317,2302,3,Yes,20,4,2,0,19,2,3,3,2,2,2,EMP0143,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,Low,Medium,0,71.66666666666666,High,1,Developing Professional
30,0,Travel_Rarely,201,Research & Development,5,3,Technical Degree,4,Female,84,3,1,Research Scientist,1,Divorced,3204,10415,5,No,14,3,4,1,8,3,3,3,2,2,2,EMP0146,0.6666666666666666,0.6666666666666666,1.0,0.6666666666666666,Low,Low,0,71.66666666666666,High,1,Developing Professional
41,0,Travel_Frequently,857,Research & Development,10,3,Life Sciences,4,Male,91,2,4,Manager,1,Divorced,17181,12888,4,No,13,3,2,1,21,2,2,7,6,7,7,EMP0148,1.0,0.8571428571428571,0.2857142857142857,1.0,High,Medium,1,100.0,High,2,Experienced Professional
53,0,Travel_Rarely,1436,Sales,6,2,Marketing,2,Male,34,3,2,Sales Representative,3,Married,2306,16047,2,Yes,20,4,4,1,13,3,1,7,7,4,5,EMP0153,0.5714285714285714,1.0,0.4285714285714285,0.7142857142857143,High,Low,1,68.57142857142857,High,1,Developing Professional
32,0,Travel_Frequently,967,Sales,8,3,Marketing,2,Female,43,3,3,Sales Executive,4,Single,8998,15589,1,No,14,3,4,0,9,2,3,9,8,3,7,EMP0155,0.3333333333333333,0.8888888888888888,0.2222222222222222,0.7777777777777778,High,Medium,1,61.66666666666666,High,2,Experienced Professional
22,0,Travel_Rarely,1256,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,2323,11992,1,No,24,4,1,2,2,6,3,2,2,2,2,EMP0161,1.0,1.0,3.0,1.0,Low,Low,0,85.0,High,1,Developing Professional
27,0,Non-Travel,691,Research & Development,9,3,Medical,4,Male,57,3,1,Research Scientist,2,Divorced,2024,5970,6,No,18,3,4,1,6,1,1,2,2,2,2,EMP0162,1.0,1.0,0.5,1.0,Low,Medium,0,100.0,High,1,Developing Professional
27,0,Non-Travel,1450,Research & Development,3,3,Medical,3,Male,79,2,1,Research Scientist,3,Divorced,2566,25326,1,Yes,15,3,4,1,1,2,2,1,1,0,1,EMP0165,0.0,1.0,2.0,1.0,Low,Medium,0,60.0,High,1,Developing Professional
50,0,Travel_Rarely,1452,Research & Development,11,3,Life Sciences,3,Female,53,3,5,Manager,2,Single,19926,17053,3,No,15,3,2,0,21,5,3,5,4,4,4,EMP0166,0.8,0.8,1.0,0.8,Medium,Low,1,78.0,High,2,Experienced Professional
30,0,Travel_Rarely,1339,Sales,5,3,Life Sciences,2,Female,41,3,3,Sales Executive,4,Married,9419,8053,2,No,12,3,3,1,12,2,3,10,9,7,4,EMP0168,0.7,0.9,0.2,0.4,High,Medium,1,71.0,High,2,Experienced Professional
36,0,Travel_Frequently,1480,Research & Development,3,2,Medical,4,Male,30,3,1,Laboratory Technician,2,Single,2088,15062,4,No,12,3,3,0,13,3,2,8,7,7,2,EMP0173,0.875,0.875,0.375,0.25,High,Low,1,75.0,High,1,Developing Professional
30,0,Non-Travel,111,Research & Development,9,3,Medical,3,Male,66,3,2,Laboratory Technician,1,Divorced,3072,11012,1,No,11,3,3,2,12,4,3,12,9,6,10,EMP0174,0.5,0.75,0.3333333333333333,0.8333333333333334,High,Low,1,70.0,High,2,Experienced Professional
56,0,Travel_Rarely,713,Research & Development,8,3,Life Sciences,3,Female,67,3,1,Research Scientist,1,Divorced,4257,13939,4,Yes,18,3,3,1,19,3,3,2,2,2,2,EMP0176,1.0,1.0,1.5,1.0,Low,Low,0,100.0,High,1,Developing Professional
46,0,Travel_Rarely,526,Sales,1,2,Marketing,2,Female,92,3,3,Sales Executive,1,Divorced,10453,2137,1,No,25,4,3,3,24,2,3,24,13,15,7,EMP0179,0.625,0.5416666666666666,0.0833333333333333,0.2916666666666667,High,Medium,1,70.625,High,2,Experienced Professional
38,0,Travel_Rarely,1380,Research & Development,9,2,Life Sciences,3,Female,75,3,1,Laboratory Technician,4,Single,2288,6319,1,No,12,3,3,0,2,3,3,2,2,2,1,EMP0180,1.0,1.0,1.5,0.5,Low,Low,0,77.5,High,1,Developing Professional
45,0,Non-Travel,1195,Research & Development,2,2,Medical,1,Male,65,2,4,Manager,4,Married,16792,20462,9,No,23,4,4,1,22,1,3,20,8,11,8,EMP0195,0.55,0.4,0.05,0.4,High,High,1,60.0,High,2,Experienced Professional
27,0,Travel_Frequently,472,Research & Development,1,1,Technical Degree,3,Male,60,2,2,Manufacturing Director,1,Married,4298,9679,5,No,19,3,3,1,6,1,3,2,2,2,0,EMP0201,1.0,1.0,0.5,0.0,Low,Medium,0,100.0,High,1,Developing Professional
49,0,Non-Travel,1002,Research & Development,18,4,Life Sciences,4,Male,92,3,2,Manufacturing Director,4,Divorced,6804,23793,1,Yes,15,3,1,2,7,0,3,7,7,1,7,EMP0202,0.1428571428571428,1.0,0.0,1.0,High,High,0,80.71428571428572,High,1,Developing Professional
22,0,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,4,Male,60,4,1,Research Scientist,2,Divorced,2328,12392,1,Yes,16,3,1,1,4,2,2,4,2,2,2,EMP0207,0.5,0.5,0.5,0.5,Low,Medium,0,62.5,High,1,Developing Professional
30,0,Non-Travel,829,Research & Development,1,1,Life Sciences,3,Male,88,2,3,Manufacturing Director,3,Single,8474,20925,1,No,22,4,3,0,12,2,3,11,8,5,8,EMP0212,0.4545454545454545,0.7272727272727273,0.1818181818181818,0.7272727272727273,High,Medium,1,65.9090909090909,High,2,Experienced Professional
27,0,Travel_Frequently,1242,Sales,20,3,Life Sciences,4,Female,90,3,2,Sales Executive,3,Single,9981,12916,1,No,14,3,4,0,7,2,3,7,7,0,7,EMP0213,0.0,1.0,0.2857142857142857,1.0,High,Medium,0,60.0,High,1,Developing Professional
51,0,Travel_Rarely,1469,Research & Development,8,4,Life Sciences,2,Male,81,2,3,Research Director,2,Married,12490,15736,5,No,16,3,4,2,16,5,1,10,9,4,7,EMP0214,0.4,0.9,0.5,0.7,High,Low,1,63.5,High,2,Experienced Professional
37,0,Travel_Frequently,319,Sales,4,4,Marketing,1,Male,41,3,1,Sales Representative,4,Divorced,2793,2539,4,No,17,3,3,1,13,2,3,9,8,5,8,EMP0227,0.5555555555555556,0.8888888888888888,0.2222222222222222,0.8888888888888888,High,Medium,1,72.22222222222221,High,2,Experienced Professional
52,0,Travel_Rarely,1323,Research & Development,2,3,Life Sciences,3,Female,89,2,1,Laboratory Technician,4,Single,3212,3300,7,No,15,3,2,0,6,3,2,2,2,2,2,EMP0231,1.0,1.0,1.5,1.0,Low,Low,0,85.0,High,1,Developing Professional
59,0,Travel_Rarely,818,Human Resources,6,2,Medical,2,Male,52,3,1,Human Resources,3,Married,2267,25657,8,No,17,3,4,0,7,2,2,2,2,2,2,EMP0233,1.0,1.0,1.0,1.0,Low,Medium,0,100.0,High,1,Developing Professional
39,0,Travel_Rarely,1431,Research & Development,1,4,Medical,3,Female,96,3,1,Laboratory Technician,3,Divorced,2232,15417,7,No,14,3,3,3,7,1,3,3,2,1,2,EMP0241,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,Low,Medium,0,68.33333333333333,High,1,Developing Professional
32,0,Non-Travel,976,Sales,26,4,Marketing,3,Male,100,3,2,Sales Executive,4,Married,4465,12069,0,No,18,3,1,0,4,2,3,3,2,2,2,EMP0242,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,Low,Medium,0,66.66666666666666,High,1,Developing Professional
31,0,Travel_Frequently,1327,Research & Development,3,4,Medical,2,Male,73,3,3,Research Director,3,Divorced,13675,13523,9,No,12,3,1,1,9,3,3,2,2,2,2,EMP0246,1.0,1.0,1.5,1.0,Low,Low,0,90.0,High,1,Developing Professional
34,0,Travel_Rarely,470,Research & Development,2,4,Life Sciences,4,Male,84,2,2,Manufacturing Director,1,Married,5957,23687,6,No,13,3,2,1,13,3,3,11,9,5,9,EMP0248,0.4545454545454545,0.8181818181818182,0.2727272727272727,0.8181818181818182,High,Low,1,70.0,High,2,Experienced Professional
39,0,Travel_Frequently,505,Research & Development,2,4,Technical Degree,3,Female,64,3,3,Healthcare Representative,3,Single,10938,6420,0,No,25,4,4,0,20,1,3,19,6,11,8,EMP0252,0.5789473684210527,0.3157894736842105,0.0526315789473684,0.4210526315789473,High,High,1,63.94736842105264,High,2,Experienced Professional
29,0,Travel_Rarely,665,Research & Development,15,3,Life Sciences,3,Male,60,3,1,Research Scientist,4,Single,2340,22673,1,No,19,3,1,0,6,1,3,6,5,1,5,EMP0253,0.1666666666666666,0.8333333333333334,0.1666666666666666,0.8333333333333334,Medium,High,0,64.16666666666666,High,1,Developing Professional
42,0,Travel_Rarely,916,Research & Development,17,2,Life Sciences,4,Female,82,4,2,Research Scientist,1,Single,6545,23016,3,Yes,13,3,3,0,10,1,3,3,2,0,2,EMP0254,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,Low,Medium,0,65.0,High,1,Developing Professional
42,0,Travel_Rarely,269,Research & Development,2,3,Medical,4,Female,56,2,1,Laboratory Technician,1,Divorced,2593,8007,0,Yes,11,3,3,1,10,4,3,9,6,7,8,EMP0257,0.7777777777777778,0.6666666666666666,0.4444444444444444,0.8888888888888888,High,Low,1,79.44444444444444,High,2,Experienced Professional
38,0,Non-Travel,1327,Sales,2,2,Life Sciences,4,Male,39,2,2,Sales Executive,4,Married,5249,19682,3,No,18,3,4,1,13,0,3,8,7,7,5,EMP0262,0.875,0.875,0.0,0.625,High,High,1,100.0,High,2,Experienced Professional
46,0,Travel_Rarely,488,Sales,2,3,Technical Degree,3,Female,75,1,4,Manager,2,Married,16872,14977,3,Yes,12,3,2,1,28,2,2,7,7,7,7,EMP0264,1.0,1.0,0.2857142857142857,1.0,High,Medium,1,100.0,High,2,Experienced Professional
36,0,Travel_Rarely,1403,Research & Development,6,3,Life Sciences,4,Male,47,3,1,Laboratory Technician,4,Married,3210,20251,0,No,11,3,3,1,16,4,3,15,13,10,11,EMP0270,0.6666666666666666,0.8666666666666667,0.2666666666666666,0.7333333333333333,High,Low,1,63.66666666666666,High,2,Experienced Professional
35,0,Travel_Rarely,1315,Research & Development,22,3,Life Sciences,2,Female,71,4,3,Manager,2,Divorced,11996,19100,7,No,18,3,2,1,10,6,2,7,7,6,2,EMP0277,0.8571428571428571,1.0,0.8571428571428571,0.2857142857142857,High,Low,1,78.57142857142857,High,2,Experienced Professional
38,0,Travel_Rarely,322,Sales,7,2,Medical,1,Female,44,4,2,Sales Executive,1,Divorced,5605,19191,1,Yes,24,4,3,1,8,3,3,8,0,7,7,EMP0278,0.875,0.0,0.375,0.875,High,Low,0,63.125,High,1,Developing Professional
26,0,Travel_Frequently,496,Research & Development,11,2,Medical,1,Male,60,3,2,Healthcare Representative,1,Married,4741,22722,1,Yes,13,3,3,1,5,3,3,5,3,3,3,EMP0285,0.6,0.6,0.6,0.6,Medium,Low,1,66.0,High,1,Developing Professional
38,0,Travel_Rarely,688,Research & Development,23,4,Life Sciences,4,Male,82,3,2,Healthcare Representative,4,Divorced,5745,18899,9,No,14,3,2,1,10,2,3,2,2,1,2,EMP0288,0.5,1.0,1.0,1.0,Low,Medium,0,75.0,High,1,Developing Professional
36,0,Travel_Rarely,506,Research & Development,3,3,Technical Degree,3,Male,30,3,2,Research Scientist,2,Single,4485,26285,4,No,12,3,4,0,10,2,3,8,0,7,7,EMP0292,0.875,0.0,0.25,0.875,High,Medium,0,68.125,High,1,Developing Professional
31,0,Travel_Frequently,444,Sales,5,3,Marketing,4,Female,84,3,1,Sales Representative,2,Divorced,2789,3909,1,No,11,3,3,1,2,5,2,2,2,2,2,EMP0293,1.0,1.0,2.5,1.0,Low,Low,0,95.0,High,1,Developing Professional
35,0,Travel_Rarely,1232,Sales,16,3,Marketing,3,Male,96,3,3,Sales Executive,2,Married,8020,5100,0,No,15,3,3,2,12,3,2,11,9,6,9,EMP0298,0.5454545454545454,0.8181818181818182,0.2727272727272727,0.8181818181818182,High,Low,1,68.63636363636363,High,2,Experienced Professional
31,0,Travel_Rarely,218,Sales,7,3,Technical Degree,2,Male,100,4,2,Sales Executive,4,Married,6929,12241,4,No,11,3,2,1,10,3,2,8,7,7,7,EMP0304,0.875,0.875,0.375,0.875,High,Low,1,74.375,High,2,Experienced Professional
31,0,Travel_Rarely,106,Human Resources,2,3,Human Resources,1,Male,62,2,2,Human Resources,1,Married,6410,17822,3,No,12,3,4,0,9,1,3,2,2,1,0,EMP0311,0.5,1.0,0.5,0.0,Low,Medium,0,85.0,High,1,Developing Professional
31,0,Travel_Rarely,192,Research & Development,2,4,Life Sciences,3,Male,32,3,1,Research Scientist,4,Divorced,2695,7747,0,Yes,18,3,2,1,3,2,1,2,2,2,2,EMP0313,1.0,1.0,1.0,1.0,Low,Medium,0,95.0,High,1,Developing Professional
33,0,Travel_Frequently,553,Research & Development,5,4,Life Sciences,4,Female,74,3,3,Manager,2,Married,11878,23364,6,No,11,3,2,2,12,2,3,10,6,8,8,EMP0314,0.8,0.6,0.2,0.8,High,Medium,1,82.0,High,2,Experienced Professional
27,0,Travel_Rarely,1220,Research & Development,5,3,Life Sciences,3,Female,85,3,1,Research Scientist,2,Single,2478,20938,1,Yes,12,3,2,0,4,2,2,4,3,1,2,EMP0319,0.25,0.75,0.5,0.5,Low,Medium,0,60.0,High,1,Developing Professional
32,0,Travel_Rarely,588,Sales,8,2,Technical Degree,3,Female,65,2,2,Sales Executive,2,Married,5228,24624,1,Yes,11,3,4,0,13,2,3,13,12,11,9,EMP0320,0.8461538461538461,0.9230769230769232,0.1538461538461538,0.6923076923076923,High,Medium,1,91.92307692307692,High,2,Experienced Professional
32,0,Travel_Rarely,1018,Research & Development,2,4,Medical,1,Female,74,4,2,Research Scientist,4,Single,5055,10557,7,No,16,3,3,0,10,0,2,7,7,0,7,EMP0323,0.0,1.0,0.0,1.0,High,High,0,75.0,High,1,Developing Professional
31,0,Travel_Frequently,798,Research & Development,7,2,Life Sciences,3,Female,48,2,3,Manufacturing Director,3,Married,8943,14034,1,No,24,4,1,1,10,2,3,10,9,8,9,EMP0326,0.8,0.9,0.2,0.9,High,Medium,1,87.5,High,2,Experienced Professional
27,0,Non-Travel,210,Sales,1,1,Marketing,3,Male,73,3,2,Sales Executive,2,Married,6349,22107,0,Yes,13,3,4,1,6,0,3,5,4,1,4,EMP0332,0.2,0.8,0.0,0.8,Medium,High,0,84.0,High,1,Developing Professional
45,0,Travel_Rarely,549,Research & Development,8,4,Other,4,Male,75,3,2,Research Scientist,4,Married,3697,9278,9,No,14,3,1,2,12,3,3,10,9,9,8,EMP0335,0.9,0.9,0.3,0.8,High,Low,1,75.0,High,2,Experienced Professional
29,0,Travel_Rarely,738,Research & Development,9,5,Other,2,Male,30,2,1,Laboratory Technician,4,Single,3983,7621,0,No,17,3,3,0,4,2,3,3,2,2,2,EMP0338,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,Low,Medium,0,66.66666666666666,High,1,Developing Professional
31,0,Travel_Rarely,1232,Research & Development,7,4,Medical,3,Female,39,3,3,Manufacturing Director,4,Single,7143,25713,1,Yes,14,3,3,0,11,2,2,11,9,4,10,EMP0343,0.3636363636363636,0.8181818181818182,0.1818181818181818,0.9090909090909092,High,Medium,1,62.727272727272734,High,2,Experienced Professional
29,0,Travel_Rarely,144,Sales,10,1,Marketing,4,Female,39,2,2,Sales Executive,2,Divorced,8268,11866,1,Yes,14,3,1,2,7,2,3,7,7,1,7,EMP0344,0.1428571428571428,1.0,0.2857142857142857,1.0,High,Medium,0,70.71428571428572,High,1,Developing Professional
